,female,other_race,notchi_school,notchi_home,uni_public,acceptance_rate,music,male,caucasian,african_american,latino,asian,chi_school,chi_home,financial_aid,median_income
76,0,0,1,1,1,60.0,1,1,0,0,1,0,0,0,0.0,66193.0
77,1,0,1,1,1,90.0,1,0,1,0,0,0,0,0,0.0,101810.0
78,0,0,1,1,1,60.0,1,1,1,0,0,0,0,0,2.0,88903.0
79,0,0,1,1,0,29.0,0,1,1,0,0,0,0,0,6.0,89399.0
80,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,102484.0
81,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,0.0,80789.0
82,0,0,1,1,0,70.0,1,1,0,0,1,0,0,0,0.0,123788.0
83,0,0,1,1,0,4.8,1,1,1,0,0,0,0,0,3.5,81994.0
84,1,0,1,1,0,29.0,1,0,1,0,0,0,0,0,2.0,80228.0
85,0,0,1,1,0,46.8,1,1,1,0,0,0,0,0,7.0,68760.0
86,1,0,1,1,1,66.0,1,0,1,0,0,0,0,0,3.0,83801.0
87,0,0,1,1,0,7.2,1,1,1,0,0,0,0,0,4.5,102161.0
88,0,0,1,1,0,7.2,1,1,1,0,0,0,0,0,2.0,70229.0
89,0,0,0,1,0,70.0,1,1,1,0,0,0,1,0,0.0,78612.0
90,0,0,1,1,0,68.0,1,1,1,0,0,0,0,0,8.0,76910.0
91,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,0.0,78052.0
92,0,0,1,1,0,70.0,1,1,0,0,1,0,0,0,1.5,77906.0
93,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,
94,1,0,0,1,0,14.0,0,0,1,0,0,0,1,0,0.0,89741.0
95,1,0,1,1,0,32.4,1,0,1,0,0,0,0,0,0.0,100879.0
96,0,0,1,1,0,19.0,0,1,1,0,1,0,0,0,0.0,89093.0
97,0,0,1,1,0,17.6,1,1,1,0,0,0,0,0,0.0,89093.0
98,0,0,1,1,0,55.0,0,1,1,0,0,0,0,0,0.0,97596.0
99,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,174451.0
100,1,0,1,1,0,35.0,1,0,0,0,0,1,0,0,0.0,101810.0
101,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,72682.0
102,1,1,1,1,0,12.0,0,0,0,0,0,0,0,0,0.0,87216.0
103,1,0,1,1,1,79.0,1,0,0,0,0,1,0,0,0.0,171585.0
104,1,0,0,0,0,11.0,1,0,1,0,0,0,1,1,0.0,78623.0
105,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,6.0,50580.0
106,1,0,1,1,0,11.0,0,0,0,0,0,1,0,0,0.0,101810.0
107,1,0,0,0,0,17.0,0,0,0,0,0,1,1,1,0.0,52037.0
108,1,0,1,1,0,11.0,1,0,0,0,0,1,0,0,5.5,89399.0
109,0,0,1,1,0,11.0,1,1,0,0,0,1,0,0,0.0,63140.0
110,1,0,1,1,0,46.8,1,0,1,0,0,0,0,0,0.0,174451.0
111,1,0,1,1,0,6.0,0,0,1,0,0,0,0,0,4.5,76910.0
112,0,0,1,1,0,,0,1,0,0,0,1,0,0,0.0,69958.0
113,1,0,1,1,1,37.0,0,0,1,0,0,0,0,0,0.0,79336.0
114,1,0,0,1,0,95.7,1,0,0,1,0,0,1,0,0.0,43975.0
115,0,0,1,1,0,29.0,1,1,1,0,0,0,0,0,0.0,132754.0
116,1,0,0,0,0,8.0,0,0,0,0,0,1,1,1,4.0,31645.0
117,0,0,1,1,0,11.0,0,1,1,0,0,0,0,0,0.0,111059.0
118,1,0,1,1,0,46.8,1,0,1,0,0,0,0,0,0.0,97596.0
119,1,0,1,1,1,29.0,0,0,0,0,0,1,0,0,0.0,111059.0
120,1,0,1,1,0,22.0,1,0,1,0,0,0,0,0,3.0,81994.0
121,1,0,0,0,1,60.0,0,0,0,0,0,1,1,1,0.0,37864.0
122,0,0,0,1,0,72.3,1,1,1,0,0,0,1,0,5.0,57736.0
123,0,1,1,1,0,7.0,0,1,0,0,0,0,0,0,0.0,174451.0
124,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,132754.0
125,1,0,1,1,0,8.0,0,0,1,0,0,0,0,0,0.0,73481.0
126,0,0,1,1,1,79.0,0,1,1,0,0,0,0,0,0.0,84238.0
127,1,0,1,1,0,70.0,1,0,1,0,0,0,0,0,0.0,132754.0
128,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,5.0,71000.0
129,0,0,1,1,0,51.0,1,1,1,0,0,0,0,0,0.0,80228.0
130,1,0,1,1,0,11.0,1,0,1,0,0,0,0,0,4.0,53318.0
131,0,0,0,1,1,60.0,1,1,1,0,0,0,1,0,0.0,74087.0
132,1,0,1,1,0,22.0,0,0,0,0,0,1,0,0,0.0,132754.0
133,1,0,0,0,0,30.0,0,0,0,0,0,1,1,1,3.0,35283.0
134,1,0,1,1,0,71.0,0,0,1,0,0,0,0,0,0.0,32930.0
135,1,0,1,1,1,79.0,0,0,1,0,0,0,0,0,0.0,96162.0
136,1,0,1,1,0,32.0,0,0,0,0,0,1,0,0,0.0,117974.0
137,1,0,1,1,0,65.7,1,0,1,0,0,0,0,0,0.0,76910.0
